Model: vit_base_patch16_224
Calibrating...
Validating...
Test: [4400/10000]	Time 0.296 (0.306)	Loss 0.6904 (0.6411)	Prec@1 80.000 (82.604)	Prec@5 100.000 (96.646)
Test: [4500/10000]	Time 0.364 (0.305)	Loss 0.0108 (0.6434)	Prec@1 100.000 (82.555)	Prec@5 100.000 (96.627)
Test: [4600/10000]	Time 0.361 (0.305)	Loss 1.6323 (0.6453)	Prec@1 60.000 (82.565)	Prec@5 100.000 (96.592)
Test: [4700/10000]	Time 0.260 (0.305)	Loss 1.5213 (0.6524)	Prec@1 80.000 (82.391)	Prec@5 100.000 (96.558)
Test: [4800/10000]	Time 0.284 (0.305)	Loss 1.4501 (0.6546)	Prec@1 60.000 (82.375)	Prec@5 80.000 (96.551)
Test: [4900/10000]	Time 0.309 (0.305)	Loss 2.5551 (0.6633)	Prec@1 40.000 (82.073)	Prec@5 80.000 (96.503)
Test: [5000/10000]	Time 0.321 (0.304)	Loss 0.0430 (0.6694)	Prec@1 100.000 (81.940)	Prec@5 100.000 (96.437)
Test: [5100/10000]	Time 0.315 (0.305)	Loss 0.4435 (0.6776)	Prec@1 80.000 (81.725)	Prec@5 100.000 (96.365)
Test: [5200/10000]	Time 0.277 (0.305)	Loss 0.3256 (0.6784)	Prec@1 100.000 (81.696)	Prec@5 100.000 (96.355)
Test: [5300/10000]	Time 0.298 (0.305)	Loss 0.5989 (0.6810)	Prec@1 80.000 (81.592)	Prec@5 100.000 (96.344)
Test: [5400/10000]	Time 0.296 (0.304)	Loss 0.0058 (0.6830)	Prec@1 100.000 (81.552)	Prec@5 100.000 (96.334)
Test: [5500/10000]	Time 0.302 (0.305)	Loss 0.2234 (0.6842)	Prec@1 80.000 (81.534)	Prec@5 100.000 (96.324)
Test: [5600/10000]	Time 0.313 (0.305)	Loss 0.0292 (0.6850)	Prec@1 100.000 (81.550)	Prec@5 100.000 (96.315)
Test: [5700/10000]	Time 0.310 (0.305)	Loss 0.1167 (0.6803)	Prec@1 100.000 (81.666)	Prec@5 100.000 (96.341)
Test: [5800/10000]	Time 0.271 (0.304)	Loss 0.1825 (0.6774)	Prec@1 100.000 (81.741)	Prec@5 100.000 (96.373)
Test: [5900/10000]	Time 0.303 (0.305)	Loss 1.3721 (0.6798)	Prec@1 80.000 (81.695)	Prec@5 80.000 (96.340)
Test: [6000/10000]	Time 0.304 (0.305)	Loss 1.3845 (0.6832)	Prec@1 80.000 (81.636)	Prec@5 80.000 (96.277)
Test: [6100/10000]	Time 0.311 (0.305)	Loss 1.1895 (0.6841)	Prec@1 60.000 (81.659)	Prec@5 100.000 (96.256)
Test: [6200/10000]	Time 0.308 (0.304)	Loss 1.1930 (0.6836)	Prec@1 40.000 (81.700)	Prec@5 100.000 (96.249)
Test: [6300/10000]	Time 0.353 (0.305)	Loss 0.7226 (0.6867)	Prec@1 80.000 (81.587)	Prec@5 100.000 (96.210)
Test: [6400/10000]	Time 0.298 (0.305)	Loss 0.0460 (0.6924)	Prec@1 100.000 (81.394)	Prec@5 100.000 (96.176)
Test: [6500/10000]	Time 0.310 (0.305)	Loss 0.5470 (0.6901)	Prec@1 100.000 (81.464)	Prec@5 100.000 (96.173)
Test: [6600/10000]	Time 0.203 (0.304)	Loss 1.4209 (0.6972)	Prec@1 60.000 (81.266)	Prec@5 100.000 (96.107)
Test: [6700/10000]	Time 0.292 (0.305)	Loss 0.3232 (0.6992)	Prec@1 100.000 (81.161)	Prec@5 100.000 (96.102)
Test: [6800/10000]	Time 0.301 (0.305)	Loss 0.1974 (0.7011)	Prec@1 100.000 (81.144)	Prec@5 100.000 (96.074)
Test: [6900/10000]	Time 0.273 (0.305)	Loss 0.3065 (0.7044)	Prec@1 100.000 (81.067)	Prec@5 100.000 (96.038)
Test: [7000/10000]	Time 0.291 (0.304)	Loss 0.9210 (0.7064)	Prec@1 80.000 (81.026)	Prec@5 100.000 (96.026)
Test: [7100/10000]	Time 0.328 (0.305)	Loss 0.1051 (0.7087)	Prec@1 100.000 (80.977)	Prec@5 100.000 (96.029)
Test: [7200/10000]	Time 0.300 (0.305)	Loss 0.3844 (0.7084)	Prec@1 100.000 (80.975)	Prec@5 100.000 (96.037)
Test: [7300/10000]	Time 0.321 (0.304)	Loss 0.1543 (0.7098)	Prec@1 100.000 (80.981)	Prec@5 100.000 (96.012)
Test: [7400/10000]	Time 0.293 (0.304)	Loss 1.8316 (0.7114)	Prec@1 40.000 (80.962)	Prec@5 80.000 (95.976)
Test: [7500/10000]	Time 0.286 (0.305)	Loss 0.8059 (0.7153)	Prec@1 80.000 (80.843)	Prec@5 100.000 (95.929)
Test: [7600/10000]	Time 0.314 (0.305)	Loss 1.8566 (0.7151)	Prec@1 60.000 (80.879)	Prec@5 80.000 (95.929)
Test: [7700/10000]	Time 0.321 (0.305)	Loss 0.0576 (0.7160)	Prec@1 100.000 (80.886)	Prec@5 100.000 (95.897)
Test: [7800/10000]	Time 0.333 (0.305)	Loss 0.6844 (0.7178)	Prec@1 80.000 (80.859)	Prec@5 100.000 (95.877)
Test: [7900/10000]	Time 0.307 (0.305)	Loss 0.6976 (0.7187)	Prec@1 60.000 (80.818)	Prec@5 100.000 (95.856)
Test: [8000/10000]	Time 0.304 (0.305)	Loss 0.0025 (0.7210)	Prec@1 100.000 (80.795)	Prec@5 100.000 (95.828)
Test: [8100/10000]	Time 0.312 (0.304)	Loss 2.1248 (0.7207)	Prec@1 20.000 (80.802)	Prec@5 80.000 (95.818)
Test: [8200/10000]	Time 0.275 (0.305)	Loss 0.0526 (0.7235)	Prec@1 100.000 (80.710)	Prec@5 100.000 (95.788)
Test: [8300/10000]	Time 0.300 (0.304)	Loss 0.0320 (0.7229)	Prec@1 100.000 (80.723)	Prec@5 100.000 (95.793)
Test: [8400/10000]	Time 0.300 (0.305)	Loss 0.3590 (0.7262)	Prec@1 80.000 (80.612)	Prec@5 100.000 (95.770)
Test: [8500/10000]	Time 0.285 (0.305)	Loss 0.3797 (0.7293)	Prec@1 80.000 (80.501)	Prec@5 100.000 (95.756)
Test: [8600/10000]	Time 0.355 (0.305)	Loss 3.4423 (0.7310)	Prec@1 40.000 (80.491)	Prec@5 40.000 (95.731)
Test: [8700/10000]	Time 0.314 (0.305)	Loss 0.4452 (0.7322)	Prec@1 80.000 (80.469)	Prec@5 100.000 (95.713)
Test: [8800/10000]	Time 0.288 (0.305)	Loss 0.3102 (0.7302)	Prec@1 100.000 (80.509)	Prec@5 100.000 (95.739)
Test: [8900/10000]	Time 0.291 (0.304)	Loss 0.0741 (0.7315)	Prec@1 100.000 (80.485)	Prec@5 100.000 (95.722)
Test: [9000/10000]	Time 0.304 (0.304)	Loss 0.6033 (0.7335)	Prec@1 80.000 (80.438)	Prec@5 80.000 (95.714)
Test: [9100/10000]	Time 0.303 (0.304)	Loss 1.6166 (0.7365)	Prec@1 40.000 (80.371)	Prec@5 80.000 (95.682)
Test: [9200/10000]	Time 0.278 (0.304)	Loss 1.1888 (0.7357)	Prec@1 80.000 (80.378)	Prec@5 80.000 (95.696)
Test: [9300/10000]	Time 0.283 (0.304)	Loss 0.6782 (0.7362)	Prec@1 80.000 (80.348)	Prec@5 100.000 (95.706)
Test: [9400/10000]	Time 0.295 (0.304)	Loss 0.6429 (0.7338)	Prec@1 80.000 (80.402)	Prec@5 100.000 (95.724)
Test: [9500/10000]	Time 0.294 (0.303)	Loss 0.0664 (0.7315)	Prec@1 100.000 (80.455)	Prec@5 100.000 (95.748)
Test: [9600/10000]	Time 0.313 (0.304)	Loss 0.4367 (0.7281)	Prec@1 100.000 (80.562)	Prec@5 100.000 (95.763)
Test: [9700/10000]	Time 0.310 (0.304)	Loss 1.2794 (0.7334)	Prec@1 40.000 (80.421)	Prec@5 100.000 (95.722)
Test: [9800/10000]	Time 0.300 (0.304)	Loss 0.2680 (0.7345)	Prec@1 100.000 (80.357)	Prec@5 100.000 (95.733)
Test: [9900/10000]	Time 0.343 (0.303)	Loss 0.0043 (0.7306)	Prec@1 100.000 (80.469)	Prec@5 100.000 (95.754)
 * Prec@1 80.488 Prec@5 95.770 Time 3036.876
